Hour,Minute,Second,Lon,Lat,Speed,SpeedDirection,HeadingDirection,,,,,,,,,,,
4,44,14.4,177698.3332,2500798.306,0.02,43.411,266.052,,,,,,,,,,,
4,44,14.6,177698.3332,2500798.306,0.01,0,266.171,,,,,,,,,,,
4,44,14.8,177698.3332,2500798.306,0.003,0,266.359,,,,,,,,,,,
4,44,15,177698.3333,2500798.306,0.011,55.928,266.463,,,,,,,,,,,
4,44,15.2,177698.3333,2500798.306,0.014,3.403,266.551,,,,,,,,,,,
4,44,15.4,177698.3333,2500798.306,0.007,0,266.445,,,,,,,,,,,
4,44,15.6,177698.3333,2500798.307,0.008,0,266.53,,,,,,,,,,,
4,44,15.8,177698.3334,2500798.307,0.023,210.64,266.57,,,,,,,,,,,
4,44,16,177698.3334,2500798.307,0.022,214.505,266.667,,,,,,,,,,,
4,44,16.2,177698.3334,2500798.307,0.02,169.929,266.54,,,,,,,,,,,
4,44,16.4,177698.3334,2500798.307,0.015,167.131,266.753,,,,,,,,,,,
4,44,16.6,177698.3335,2500798.307,0.016,119.921,266.86,,,,,,,,,,,
4,44,16.8,177698.3335,2500798.307,0.013,143.639,266.965,,,,,,,,,,,
4,44,17,177698.3335,2500798.307,0.005,0,266.949,,,,,,,,,,,
4,44,17.2,177698.3335,2500798.308,0.01,104.057,267.242,,,,,,,,,,,
4,44,17.4,177698.3336,2500798.308,0.008,0,267.254,,,,,,,,,,,
4,44,17.6,177698.3336,2500798.308,0.002,0,267.082,,,,,,,,,,,
4,44,17.8,177698.3336,2500798.308,0.004,0,267.23,,,,,,,,,,,
4,44,18,177698.3337,2500798.308,0.021,162.993,267.472,,,,,,,,,,,
4,44,18.2,177698.3337,2500798.308,0.01,199.657,267.404,,,,,,,,,,,
4,44,18.4,177698.3337,2500798.308,0.003,0,267.462,,,,,,,,,,,
4,44,18.6,177698.3337,2500798.308,0.016,291.517,267.518,,,,,,,,,,,
4,44,18.8,177698.3338,2500798.309,0.01,0,267.515,,,,,,,,,,,
4,44,19,177698.3338,2500798.309,0.021,331.369,267.477,,,,,,,,,,,
4,44,19.2,177698.3338,2500798.309,0.011,29.524,267.522,,,,,,,,,,,
4,44,19.4,177698.3338,2500798.309,0.014,61.627,267.649,,,,,,,,,,,
4,44,19.6,177698.3339,2500798.309,0.005,0,267.712,,,,,,,,,,,
4,44,19.8,177698.3339,2500798.309,0.02,131.156,267.388,,,,,,,,,,,
